Data,Preço_Real,Preço_Previsto,Erro,Erro_Percentual
2019-11-04,8.812468528747559,8.778957556267471,0.033510972480087275,0.3802677123982865
2019-11-05,8.606378555297852,8.817927581596336,-0.21154902629848493,-2.4580492821601614
2019-11-06,8.623793601989746,8.84072298044714,-0.2169293784573938,-2.5154750736073073
2019-11-07,8.969212532043457,8.8469609801856,0.12225155185785752,1.3630132123762366
2019-11-08,8.713775634765625,8.8456541479012,-0.1318785131355753,-1.5134485745698507
2019-11-11,8.838591575622559,8.830718849962182,0.007872725660377,0.08907217392067891
2019-11-12,8.771656036376953,8.807666635186308,-0.03601059880935509,-0.41053363994228065
2019-11-13,8.736594200134277,8.779207709811715,-0.04261350967743738,-0.4877588302863194
2019-11-14,8.56127643585205,8.745965069298336,-0.18468863344628517,-2.1572558114449465
2019-11-18,8.496994018554688,8.705798706642554,-0.20880468808786645,-2.457394787284827
2019-11-19,8.40933609008789,8.658837721186046,-0.24950163109815549,-2.9669599172310854
2019-11-21,8.721983909606934,8.603200556019146,0.11878335358778713,1.361884576018901
2019-11-22,8.759968757629393,8.550939709467741,0.2090290481616517,2.386184859159461
2019-11-25,8.686920166015625,8.508459363675058,0.17846080234056672,2.0543621781943946
2019-11-26,8.529136657714844,8.476563906846934,0.05257275086790969,0.6163900635869887
2019-11-27,8.570042610168457,8.452812519200165,0.11723009096829173,1.3679055787796999
2019-11-28,8.628482818603516,8.434521644019924,0.19396117458359186,2.2479174921157656
2019-11-29,8.517449378967285,8.425422968800888,0.09202641016639745,1.0804456366203303
2019-12-02,8.494071960449219,8.421015489620856,0.07305647082836231,0.8600877314029565
2019-12-03,8.46777629852295,8.418961967862685,0.04881433066026375,0.5764716607922027
2019-12-04,8.666466712951658,8.418844936229675,0.24762177672198327,2.8572402678466795
2019-12-05,8.780421257019043,8.42552076752321,0.35490048949583297,4.041952875690635
2019-12-06,8.86807918548584,8.442686705986148,0.42539247949969194,4.796895365976446
2019-12-09,8.827174186706543,8.469606495684502,0.3575676910220409,4.05076056571453
2019-12-10,8.894377708435059,8.505362110822489,0.38901559761256976,4.373724732238923
2019-12-11,8.8826904296875,8.551193508465644,0.3314969212218557,3.731942746917479
2019-12-12,9.049239158630371,8.600983114551582,0.4482560440787893,4.9535219063282465
2019-12-13,8.759968757629393,8.657884120790754,0.10208463683863833,1.1653538918130149
2019-12-16,8.593419075012207,8.70905598234026,-0.11563690732805298,-1.3456449210570907
2019-12-17,8.721983909606934,8.746166449186717,-0.024182539579783224,-0.27725962155407186
2019-12-18,8.923595428466797,8.771404050579008,0.1521913778877888,1.7054939245933238
2019-12-19,8.944049835205078,8.787878735604863,0.1561710996002148,1.7460893272922373
2019-12-20,8.841782569885254,8.798347724284099,0.04343484560115485,0.4912453485238615
2019-12-23,8.911909103393555,8.802606619801168,0.10930248359238703,1.2264766429312646
2019-12-26,9.031708717346191,8.803429738096497,0.2282789792496942,2.5275281388477944
2019-12-27,9.041170120239258,8.803503149990888,0.23766697024836958,2.628719149043953
2019-12-30,8.940449714660645,8.8050719521176,0.1353777625430439,1.514216475274728
