Data,Preço,Sinal_Previsto,Capital_Acumulado
2024-03-14,27.379236221313477,0,1000.0
2024-03-15,27.454832077026367,0,1000.0
2024-03-18,27.469945907592773,0,1000.0
2024-03-19,27.265846252441406,0,1000.0
2024-03-20,27.742074966430664,0,1000.0
2024-03-21,26.986162185668945,0,1000.0
2024-03-22,27.250732421875,0,1000.0
2024-03-25,27.666481018066406,0,1000.0
2024-03-26,27.409475326538086,0,1000.0
2024-03-27,27.628686904907227,0,1000.0
2024-03-28,28.24098014831543,0,1000.0
2024-04-01,28.460195541381836,0,1000.0
2024-04-02,29.193435668945312,0,1000.0
2024-04-03,29.042251586914062,0,1000.0
2024-04-04,28.70964813232422,0,1000.0
2024-04-05,28.800357818603516,0,1000.0
2024-04-08,29.200992584228516,0,1000.0
2024-04-09,29.276582717895508,0,1000.0
2024-04-10,29.926671981811523,0,1000.0
2024-04-11,29.707456588745117,0,1000.0
2024-04-12,29.43532371520996,0,1000.0
2024-04-15,29.715017318725586,0,1000.0
2024-04-16,29.85107421875,0,1000.0
2024-04-17,30.070295333862305,0,1000.0
2024-04-18,30.123207092285156,0,1000.0
2024-04-19,30.637226104736328,0,1000.0
2024-04-22,31.370468139648438,0,1000.0
2024-04-23,31.309999465942383,0,1000.0
2024-04-24,31.166370391845703,0,1000.0
2024-04-25,31.91472816467285,0,1000.0
2024-04-26,32.36545944213867,0,1000.0
2024-04-29,32.753997802734375,0,1000.0
2024-04-30,32.65296936035156,0,1000.0
2024-05-02,32.777313232421875,0,1000.0
2024-05-03,32.360347747802734,0,1000.0
2024-05-06,32.579383850097656,0,1000.0
2024-05-07,32.97689437866211,0,1000.0
2024-05-08,33.479862213134766,0,1000.0
2024-05-09,33.804351806640625,0,1000.0
2024-05-10,33.73134231567383,0,1000.0
2024-05-13,33.7637939453125,0,1000.0
2024-05-14,33.15536117553711,0,1000.0
2024-05-15,31.15160369873047,0,1000.0
2024-05-16,30.24301528930664,0,1000.0
2024-05-17,29.764379501342773,0,1000.0
2024-05-20,29.81305503845215,0,1000.0
2024-05-21,29.756271362304688,0,1000.0
2024-05-22,30.161888122558594,0,1000.0
2024-05-23,29.86172866821289,0,1000.0
2024-05-24,29.699481964111328,0,1000.0
2024-05-27,30.02397918701172,0,1000.0
2024-05-28,30.664857864379883,0,1000.0
2024-05-29,30.624292373657227,0,1000.0
2024-05-31,31.46798324584961,0,1000.0
2024-06-03,31.297622680664062,0,1000.0
2024-06-04,30.94879150390625,0,1000.0
2024-06-05,30.98935317993164,0,1000.0
2024-06-06,31.135372161865234,0,1000.0
2024-06-07,29.967191696166992,0,1000.0
2024-06-10,30.42148780822754,0,1000.0
2024-06-11,30.55128288269043,0,1000.0
2024-06-12,29.886505126953125,0,1000.0
2024-06-13,29.58614158630371,0,1000.0
2024-06-14,28.935344696044922,0,1000.0
2024-06-17,29.04380989074707,0,1000.0
2024-06-18,29.953256607055664,0,1000.0
2024-06-19,29.978286743164062,0,1000.0
2024-06-20,30.453866958618164,0,1000.0
2024-06-21,30.61239242553711,0,1000.0
2024-06-24,30.92110824584961,0,1000.0
2024-06-25,30.896068572998047,0,1000.0
2024-06-26,30.94614028930664,0,1000.0
2024-06-27,31.46343231201172,0,1000.0
2024-06-28,31.747116088867188,0,1000.0
2024-07-01,32.23103713989258,0,1000.0
2024-07-02,32.13090896606445,0,1000.0
2024-07-03,31.5718994140625,0,1000.0
2024-07-04,31.13803482055664,0,1000.0
2024-07-05,31.304906845092773,0,1000.0
2024-07-08,32.072509765625,0,1000.0
2024-07-09,32.06416702270508,0,1000.0
2024-07-10,31.763803482055664,0,1000.0
2024-07-11,31.98073387145996,0,1000.0
2024-07-12,31.830549240112305,0,1000.0
2024-07-15,32.12257385253906,0,1000.0
2024-07-16,32.03913879394531,0,1000.0
2024-07-17,32.20600509643555,0,1000.0
2024-07-18,32.14759826660156,0,1000.0
2024-07-19,32.281097412109375,0,1000.0
2024-07-22,31.638648986816406,0,1000.0
2024-07-23,31.229812622070312,0,1000.0
2024-07-24,31.480119705200195,0,1000.0
2024-07-25,31.438404083251953,0,1000.0
2024-07-26,31.405031204223633,0,1000.0
2024-07-29,30.77092170715332,0,1000.0
2024-07-30,30.57901954650879,0,1000.0
2024-07-31,31.2131290435791,0,1000.0
2024-08-01,30.737548828125,0,1000.0
2024-08-02,29.811416625976562,0,1000.0
2024-08-05,29.786386489868164,0,1000.0
2024-08-06,30.30368423461914,0,1000.0
2024-08-07,30.261966705322266,0,1000.0
2024-08-08,30.745887756347656,0,1000.0
2024-08-09,30.462207794189453,0,1000.0
2024-08-12,31.154722213745117,0,1000.0
2024-08-13,30.96282386779785,0,1000.0
2024-08-14,31.505149841308594,0,1000.0
2024-08-15,31.98907470703125,0,1000.0
2024-08-16,32.12257385253906,0,1000.0
2024-08-19,32.072509765625,0,1000.0
2024-08-20,31.947357177734375,0,1000.0
2024-08-21,31.755456924438477,0,1000.0
2024-08-22,31.85259437561035,0,1000.0
2024-08-23,31.65523338317871,0,1000.0
2024-08-26,33.954933166503906,0,1000.0
2024-08-27,33.50014114379883,0,1000.0
2024-08-28,33.98067855834961,0,1000.0
2024-08-29,33.748992919921875,0,1000.0
2024-08-30,33.7833137512207,0,1000.0
